21, 17, 28, 33, 1
18, 97, 25, 23, 1
23, 173, 23, 23, 1
21, 251, 29, 30, 1
16, 320, 32, 29, 1
22, 398, 23, 26, 1
21, 474, 24, 34, 1
85, 20, 34, 23, 2
81, 102, 38, 20, 2
84, 170, 36, 21, 2
84, 251, 36, 19, 2
80, 327, 41, 20, 2
84, 398, 35, 20, 2
85, 476, 37, 20, 2
165, 17, 32, 33, 3
171, 102, 29, 26, 3
171, 178, 24, 25, 3
169, 250, 26, 30, 3
160, 323, 35, 30, 3
170, 403, 26, 24, 3
170, 467, 28, 35, 3
240, 19, 29, 24, 4
237, 106, 34, 23, 4
241, 178, 30, 24, 4
244, 248, 31, 21, 4
241, 315, 31, 28, 4
237, 393, 35, 26, 4
233, 467, 38, 28, 4
317, 21, 40, 30, 5
308, 102, 43, 34, 5
313, 172, 41, 37, 5
312, 248, 40, 41, 5
310, 318, 39, 38, 5
312, 390, 38, 36, 5
314, 468, 38, 32, 5
388, 23, 36, 26, 6
381, 91, 42, 39, 6
389, 183, 36, 20, 6
389, 256, 35, 18, 6
387, 329, 36, 18, 6
382, 404, 36, 25, 6
388, 474, 38, 25, 6
462, 22, 41, 26, 7
462, 106, 39, 32, 7
458, 180, 44, 23, 7
459, 248, 46, 18, 7
458, 323, 44, 20, 7
459, 395, 45, 20, 7
459, 472, 45, 29, 7
545, 23, 34, 27, 8
546, 105, 33, 22, 8
548, 181, 34, 23, 8
545, 256, 31, 24, 8
544, 326, 29, 24, 8
543, 399, 30, 22, 8
544, 478, 29, 25, 8
615, 23, 33, 24, 9
614, 102, 32, 27, 9
616, 176, 29, 26, 9
616, 250, 29, 28, 9
614, 322, 30, 30, 9
615, 393, 32, 29, 9
614, 472, 33, 34, 9
682, 17, 35, 37, 10
692, 95, 27, 31, 10
691, 175, 27, 35, 10
689, 241, 30, 40, 10
689, 318, 30, 40, 10
690, 395, 34, 34, 10
692, 466, 32, 39, 10
